Model,Scaler,Best Parameters,Best Score,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,R-squared
MLP Regressor,StandardScaler,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 50)}",0.4431297517701375,242.41887293017544,90165.93570392665,300.2764321486564,0.5842406852610442
Linear Regression,MinMaxScaler,"{'copy_X': True, 'fit_intercept': True}",0.4732048810384311,234.59100586768372,86363.94468630235,293.87743140006916,0.6017718423193112
Random Forest Regressor,MinMaxScaler,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6933320782840271,249.18687625117113,95732.47485991062,309.40664966983275,0.5585731148322411
Gradient Boosting Regressor,MinMaxScaler,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.7335779638391311,260.829753150156,102938.30433471347,320.83999802816584,0.5253467006528635
Support Vector Regressor,MinMaxScaler,"{'C': 10, 'epsilon': 0.1, 'kernel': 'linear'}",0.32430709976617356,250.90168198177517,98796.76857189454,314.31953259683775,0.5444435142917807
Ridge Regression,MinMaxScaler,{'alpha': 0.1},0.47228273784597236,235.0118173296645,86591.65053805293,294.2645927359473,0.6007218800675276
Lasso Regression,MinMaxScaler,{'alpha': 0.1},0.4719626792115186,235.10358351993915,86603.6758230543,294.2850248025786,0.6006664309202119
MLP Regressor,MinMaxScaler,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50)}",0.2084145884433794,248.07911339246849,93675.16715081227,306.06399192131744,0.568059456172396
Linear Regression,RobustScaler,"{'copy_X': True, 'fit_intercept': True}",0.4732048810384311,234.59100586768386,86363.94468630229,293.87743140006904,0.6017718423193115
Random Forest Regressor,RobustScaler,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6934735867155307,243.62944171736214,92820.42454133525,304.6644458110189,0.572000714019054
Gradient Boosting Regressor,RobustScaler,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.7335779638391311,262.53089385513755,104876.01393427856,323.8456637571029,0.51641183174712
Support Vector Regressor,RobustScaler,"{'C': 10, 'epsilon': 0.1, 'kernel': 'linear'}",0.42625689107539644,237.1430450854179,91016.08877950582,301.6887282937595,0.5803205899682204
Ridge Regression,RobustScaler,{'alpha': 0.1},0.4731830805768686,234.66382536964863,86399.83725656333,293.9384923016435,0.6016063400118219
Lasso Regression,RobustScaler,{'alpha': 0.1},0.4730947227282347,234.76671019441463,86498.56770686548,294.1063884155961,0.6011510893227339
MLP Regressor,RobustScaler,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 50)}",0.4204480209243107,236.42602579922257,88392.68359234944,297.30907082083695,0.5924172330560962
Linear Regression,MaxAbsScaler,"{'copy_X': True, 'fit_intercept': True}",0.4732048810384311,234.59100586768363,86363.94468630236,293.87743140006916,0.601771842319311
Random Forest Regressor,MaxAbsScaler,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6934758710619657,246.96538287965822,95133.6155177949,308.4373769791769,0.5613344830558309
Gradient Boosting Regressor,MaxAbsScaler,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.7335779638391311,262.97274070494194,104271.42685803567,322.9108651904356,0.5191996108186328
Support Vector Regressor,MaxAbsScaler,"{'C': 10, 'epsilon': 0.2, 'kernel': 'linear'}",0.323953954821539,250.95262544066208,98952.8947398088,314.567790372455,0.5437236092846613
Ridge Regression,MaxAbsScaler,{'alpha': 0.1},0.472267358992269,235.0200130222336,86601.08826766517,294.28062842746743,0.600678362258217
Lasso Regression,MaxAbsScaler,{'alpha': 0.1},0.47196020001788497,235.10213161957523,86611.977712939,294.2991296503253,0.6006281505206068
MLP Regressor,MaxAbsScaler,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50)}",0.21856038678696305,249.8797012488448,94800.89087355816,307.8975330748172,0.5628686918343974
Linear Regression,Normalizer,"{'copy_X': True, 'fit_intercept': True}",0.3797928445089888,277.0815833154465,110013.75848358146,331.6832200814227,0.4927214531529681
Random Forest Regressor,Normalizer,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6914514439787008,243.77538253577436,95100.79882898039,308.38417408969025,0.561485802331198
Gradient Boosting Regressor,Normalizer,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 200}",0.7335936435247927,252.1682364833586,102769.41583176624,320.57669258972373,0.5261254533792057
Support Vector Regressor,Normalizer,"{'C': 10, 'epsilon': 0.5, 'kernel': 'rbf'}",0.02324425205180883,346.4682428173994,198664.58791107783,445.7180587670617,0.08394836378091552
Ridge Regression,Normalizer,{'alpha': 0.1},0.3292849316939509,294.4765473733415,123541.77194366038,351.4850949096709,0.43034315516235744
Lasso Regression,Normalizer,{'alpha': 0.1},0.3376706152345734,294.78986495057546,123535.10141545869,351.47560571888727,0.4303739132775195
MLP Regressor,Normalizer,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 50)}",0.04589511785895727,350.9321157860173,186933.03779826983,432.3575346842817,0.13804308589130088
