Model,Scaler,Best Parameters,Best Score,Mean Absolute Error,Mean Squared Error,Root Mean Squared Error,R-squared
Gradient Boosting Regressor,MinMaxScaler,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 200}",0.6780928102534213,0.2916687728613871,0.11192443971062109,0.33455110179256786,-0.5502097334291423
Support Vector Regressor,MinMaxScaler,"{'C': 1000, 'coef0': 0, 'degree': 4, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 1000, 'shrinking': True, 'tol': 1e-05}",0.5926498403266014,0.2909350620260584,0.13616965010149065,0.3690117208185814,-0.8860180808654952
Ridge Regression,MinMaxScaler,{'alpha': 0.1},0.5785013119404571,0.4159573882268854,0.24908035626575684,0.4990795089620058,-2.4498881002889052
Lasso Regression,MinMaxScaler,"{'alpha': 0.1, 'max_iter': 5000, 'tol': 0.0001}",0.0,0.2431972789115646,0.07633219954648525,0.2762828252832326,-0.057239321608039795
MLP Regressor,MinMaxScaler,"{'activation': 'relu', 'alpha': 0.01, 'early_stopping': False, 'hidden_layer_sizes': (50, 50, 100), 'learning_rate': 'constant', 'max_iter': 600, 'solver': 'adam'}",0.6587650060976236,0.24047676225597694,0.0889773838514725,0.2982907706441359,-0.2323814785960856
Linear Regression,RobustScaler,"{'copy_X': True, 'fit_intercept': True}",0.6780928102534213,0.4843809093111947,0.33810950164576614,0.5814718408020857,-3.6829865020660444
Random Forest Regressor,RobustScaler,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5728461380872016,0.25742857142857145,0.08751461507936507,0.29582869211651036,-0.2121213960427133
Gradient Boosting Regressor,RobustScaler,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 200}",0.6780928102534213,0.2823299325578267,0.10066405648476913,0.31727599418293395,-0.39424776726705946
Support Vector Regressor,RobustScaler,"{'C': 1000, 'coef0': 0, 'degree': 4, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': 1000, 'shrinking': True, 'tol': 1e-05}",0.6247516885375105,0.25535836469672324,0.0945894850817698,0.3075540360355718,-0.3101119007870752
Ridge Regression,RobustScaler,{'alpha': 0.1},0.6522351777665775,0.5163529817478516,0.3347042787144124,0.5785363244554419,-3.6358224532994923
Lasso Regression,RobustScaler,"{'alpha': 0.1, 'max_iter': 5000, 'tol': 0.0001}",0.01935898201296084,0.24223735382478725,0.07672458594944088,0.27699203228511987,-0.06267407046807238
MLP Regressor,RobustScaler,"{'activation': 'relu', 'alpha': 0.01, 'early_stopping': False, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 600, 'solver': 'adam'}",0.6771289281918118,0.2818266741631168,0.16299805843899023,0.40373018024293184,-1.257605017952094
Linear Regression,MaxAbsScaler,"{'copy_X': True, 'fit_intercept': False}",0.6780928102534213,0.48508248916604957,0.3353560266342832,0.5790993236348003,-3.6448494895012207
Random Forest Regressor,MaxAbsScaler,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5747334466008457,0.24164021164021163,0.07290487174211246,0.27000902159393203,-0.009769109242198093
Gradient Boosting Regressor,MaxAbsScaler,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 200}",0.6780928102534213,0.3186887254577409,0.14370711000518047,0.37908720633276516,-0.9904156881998922
Support Vector Regressor,MaxAbsScaler,"{'C': 10, 'coef0': 0, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 1000, 'shrinking': True, 'tol': 1e-05}",0.5970165066770164,0.22567237028787623,0.10094261679877052,0.31771467828662014,-0.3981059675960361
Ridge Regression,MaxAbsScaler,{'alpha': 0.1},0.6007363069054381,0.4245342740810309,0.24731000337500064,0.4973027280992943,-2.4253678231273637
Lasso Regression,MaxAbsScaler,"{'alpha': 0.1, 'max_iter': 5000, 'tol': 0.0001}",0.0,0.2431972789115646,0.07633219954648525,0.2762828252832326,-0.057239321608039795
MLP Regressor,MaxAbsScaler,"{'activation': 'relu', 'alpha': 0.01, 'early_stopping': False, 'hidden_layer_sizes': (50, 50, 100), 'learning_rate': 'constant', 'max_iter': 200, 'solver': 'adam'}",0.6554879138158379,0.3012270915586978,0.14768576589143953,0.38429905788518337,-1.0455220715491467
Linear Regression,Normalizer,"{'copy_X': True, 'fit_intercept': False}",0.6780928102534212,0.40427950616103514,0.27443770465097417,0.5238680221687273,-2.8011001178102886
Random Forest Regressor,Normalizer,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.5632847367795221,0.23092063492063472,0.07765371009700174,0.27866415287403173,-0.07554290680834685
Gradient Boosting Regressor,Normalizer,"{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 200}",0.6780928102534213,0.23037910530586103,0.06983576492919712,0.2642645737309432,0.032739562381409404
Support Vector Regressor,Normalizer,"{'C': 1000, 'coef0': 0, 'degree': 5, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 2000, 'shrinking': True, 'tol': 1e-05}",0.6107370335800897,0.23670723751271996,0.1018965743239154,0.31921242821029916,-0.4113187586949334
Ridge Regression,Normalizer,{'alpha': 0.1},0.11849308688831281,0.2695857080355561,0.10531954779385036,0.32452973329704377,-0.45872866134070356
Lasso Regression,Normalizer,"{'alpha': 0.1, 'max_iter': 5000, 'tol': 0.0001}",0.0,0.2431972789115646,0.07633219954648525,0.2762828252832326,-0.057239321608039795
MLP Regressor,Normalizer,"{'activation': 'tanh', 'alpha': 0.01, 'early_stopping': False, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'adaptive', 'max_iter': 600, 'solver': 'adam'}",0.506339038969214,0.29982274592731933,0.15975160828491733,0.39968938975774343,-1.2126400519361975
